,School,Year,English DAs,Students,English Success Rate
0,James Ruse Agricultural High School,2017,115,157,0.732484076433121
2,Baulkham Hills High School,2017,123,205,0.6
4,North Sydney Boys High School,2017,65,162,0.4012345679012346
5,Hornsby Girls High School,2017,50,126,0.3968253968253968
6,North Sydney Girls High School,2017,55,158,0.34810126582278483
7,Normanhurst Boys High School,2017,46,131,0.3511450381679389
8,Sydney Boys High School,2017,81,213,0.38028169014084506
9,Sydney Girls High School,2017,84,162,0.5185185185185185
10,Girraween High School,2017,36,140,0.2571428571428571
11,Fort Street High School,2017,53,167,0.31736526946107785
12,Penrith High School,2017,44,159,0.27672955974842767
13,Northern Beaches Secondary College Manly Campus,2017,51,139,0.3669064748201439
14,Hurlstone Agricultural High School,2017,14,171,0.08187134502923976
15,St George Girls High School,2017,48,159,0.3018867924528302
16,Sydney Technical High School,2017,35,155,0.22580645161290322
17,James Ruse Agricultural High School,2018,93,158,0.5886075949367089
18,Baulkham Hills High School,2018,92,206,0.44660194174757284
19,North Sydney Boys High School,2018,53,164,0.3231707317073171
20,Hornsby Girls High School,2018,41,127,0.3228346456692913
21,North Sydney Girls High School,2018,52,160,0.325
22,Normanhurst Boys High School,2018,30,125,0.24
23,Sydney Boys High School,2018,48,208,0.23076923076923078
24,Sydney Girls High School,2018,73,171,0.4269005847953216
25,Girraween High School,2018,24,140,0.17142857142857143
26,Fort Street High School,2018,51,156,0.3269230769230769
27,Penrith High School,2018,34,154,0.22077922077922077
28,Northern Beaches Secondary College Manly Campus,2018,29,133,0.21804511278195488
29,Hurlstone Agricultural High School,2018,13,175,0.07428571428571429
30,St George Girls High School,2018,50,160,0.3125
31,Sydney Technical High School,2018,30,155,0.1935483870967742
32,James Ruse Agricultural High School,2019,92,153,0.6013071895424836
33,Baulkham Hills High School,2019,66,202,0.32673267326732675
34,North Sydney Boys High School,2019,62,164,0.3780487804878049
35,Hornsby Girls High School,2019,72,121,0.5950413223140496
36,North Sydney Girls High School,2019,51,154,0.33116883116883117
37,Normanhurst Boys High School,2019,40,126,0.31746031746031744
38,Sydney Boys High School,2019,43,212,0.2028301886792453
39,Sydney Girls High School,2019,74,164,0.45121951219512196
40,Girraween High School,2019,19,138,0.13768115942028986
41,Fort Street High School,2019,41,152,0.26973684210526316
42,Penrith High School,2019,29,157,0.18471337579617833
43,Northern Beaches Secondary College Manly Campus,2019,34,135,0.2518518518518518
44,Hurlstone Agricultural High School,2019,14,150,0.09333333333333334
45,St George Girls High School,2019,45,166,0.2710843373493976
46,Sydney Technical High School,2019,19,162,0.11728395061728394
47,James Ruse Agricultural High School,2020,92,161,0.5714285714285714
48,Baulkham Hills High School,2020,109,207,0.5265700483091788
49,North Sydney Boys High School,2020,64,150,0.4266666666666667
50,Hornsby Girls High School,2020,68,125,0.544
51,North Sydney Girls High School,2020,63,157,0.4012738853503185
52,Normanhurst Boys High School,2020,46,120,0.38333333333333336
53,Sydney Boys High School,2020,45,213,0.2112676056338028
54,Sydney Girls High School,2020,63,157,0.4012738853503185
55,Girraween High School,2020,29,139,0.20863309352517986
56,Fort Street High School,2020,37,157,0.2356687898089172
57,Penrith High School,2020,37,161,0.22981366459627328
58,Northern Beaches Secondary College Manly Campus,2020,49,137,0.35766423357664234
59,Hurlstone Agricultural High School,2020,19,148,0.12837837837837837
60,St George Girls High School,2020,37,162,0.22839506172839505
61,Sydney Technical High School,2020,25,156,0.16025641025641027
